CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;0.7841191115770353
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;0.1667406989499999
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;0.005147696524667768
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;0.005828771047650947
OUTFLOW;ET RAIN;Urban;0.15900171989271122
OUTFLOW;ET RAIN;Agri;0.149729058031159
OUTFLOW;ET INCREMENTAL;Natural;0.01246164536452224
OUTFLOW;ET INCREMENTAL;Urban;0.13028378724501882
OUTFLOW;ET INCREMENTAL;Agri;0.2627953869746385
OUTFLOW;ET INCREMENTAL;Manmade;0.2627954799517262
OUTFLOW;ET INCREMENTAL;Consumed Water;0.09297708749599999
OUTFLOW;SURFACE WATER;Surface wateroutflow;0.1429300509999996
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;0.1299032886849996
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
