CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1264.4145047954864
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;36.066201563
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-107.39405146320433
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;586.4600564859405
OUTFLOW;ET RAIN;Urban;7.241866837709397
OUTFLOW;ET RAIN;Agri;182.48764705950924
OUTFLOW;ET INCREMENTAL;Natural;105.85243535050542
OUTFLOW;ET INCREMENTAL;Urban;8.658032944122844
OUTFLOW;ET INCREMENTAL;Agri;221.21593962249474
OUTFLOW;ET INCREMENTAL;Manmade;221.2601790802407
OUTFLOW;ET INCREMENTAL;Consumed Water;44.23945774600001
OUTFLOW;SURFACE WATER;Surface wateroutflow;36.931218849000004
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;1.6469300226
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
